"date","node","cpu","int","mem"
"2014-02-01 01:25:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 01:25:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 01:30:00","lbpeuid01.sceu.corp",8,0.03,91.72
"2014-02-01 01:30:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 01:30:00","lbpeuin01.sceu.corp",10,0.02,91.99
"2014-02-01 01:30:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 01:35:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 01:35:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 01:35:00","lbpeuin01.sceu.corp",10,0.07,91.99
"2014-02-01 01:35:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 01:40:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 01:40:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 01:40:00","lbpeuin01.sceu.corp",10,0.04,91.99
"2014-02-01 01:40:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 01:45:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 01:45:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 01:45:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 01:45:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 01:50:00","lbpeuid01.sceu.corp",8.5,0.01,91.73
"2014-02-01 01:50:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 01:50:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 01:50:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 01:55:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 01:55:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 01:55:00","lbpeuin01.sceu.corp",10,0.02,91.98
"2014-02-01 01:55:00","lbpeuin02.sceu.corp",11.5,0.01,92.07
"2014-02-01 02:00:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 02:00:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 02:00:00","lbpeuin01.sceu.corp",10.5,0.1,92
"2014-02-01 02:00:00","lbpeuin02.sceu.corp",11.5,0.01,92.07
"2014-02-01 02:05:00","lbpeuid01.sceu.corp",9,0.03,91.72
"2014-02-01 02:05:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 02:05:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 02:05:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 02:10:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 02:10:00","lbpeuid02.sceu.corp",10,0,91.09
"2014-02-01 02:10:00","lbpeuin01.sceu.corp",10,0.04,91.99
"2014-02-01 02:10:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 02:15:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 02:15:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:15:00","lbpeuin01.sceu.corp",10,0.03,91.99
"2014-02-01 02:15:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 02:20:00","lbpeuid01.sceu.corp",8.5,0.03,91.73
"2014-02-01 02:20:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:20:00","lbpeuin01.sceu.corp",9.5,0.01,91.99
"2014-02-01 02:20:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 02:25:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 02:25:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:25:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 02:25:00","lbpeuin02.sceu.corp",11.5,0.01,92.09
"2014-02-01 02:30:00","lbpeuid01.sceu.corp",8.5,0.03,91.75
"2014-02-01 02:30:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:30:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 02:30:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 02:35:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 02:35:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:35:00","lbpeuin01.sceu.corp",10,0.02,92
"2014-02-01 02:35:00","lbpeuin02.sceu.corp",12.5,0.01,92.08
"2014-02-01 02:40:00","lbpeuid01.sceu.corp",8.5,0.03,91.73
"2014-02-01 02:40:00","lbpeuid02.sceu.corp",9,0,91.11
"2014-02-01 02:40:00","lbpeuin01.sceu.corp",10.5,0.01,91.99
"2014-02-01 02:40:00","lbpeuin02.sceu.corp",11.5,0.01,92.07
"2014-02-01 02:45:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 02:45:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 02:45:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 02:45:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 02:50:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 02:50:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 02:50:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 02:50:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 02:55:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 02:55:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 02:55:00","lbpeuin01.sceu.corp",10,0.03,91.99
"2014-02-01 02:55:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 03:00:00","lbpeuid01.sceu.corp",9,0.02,91.73
"2014-02-01 03:00:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 03:00:00","lbpeuin01.sceu.corp",10.5,0.01,91.99
"2014-02-01 03:00:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 03:05:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 03:05:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 03:05:00","lbpeuin01.sceu.corp",10,0.02,91.99
"2014-02-01 03:05:00","lbpeuin02.sceu.corp",12,0.01,92.09
"2014-02-01 03:10:00","lbpeuid01.sceu.corp",8,0.02,91.72
"2014-02-01 03:10:00","lbpeuid02.sceu.corp",10.5,0,91.1
"2014-02-01 03:10:00","lbpeuin01.sceu.corp",10,0.01,92.01
"2014-02-01 03:10:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 03:15:00","lbpeuid01.sceu.corp",8.5,0.03,91.73
"2014-02-01 03:15:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 03:15:00","lbpeuin01.sceu.corp",10,0.01,92
"2014-02-01 03:15:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 03:20:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 03:20:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 03:20:00","lbpeuin01.sceu.corp",10,0.01,92
"2014-02-01 03:20:00","lbpeuin02.sceu.corp",12,0.01,92.08
"2014-02-01 03:25:00","lbpeuid01.sceu.corp",8.5,0.02,91.73
"2014-02-01 03:25:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 03:25:00","lbpeuin01.sceu.corp",10,0.03,91.99
"2014-02-01 03:25:00","lbpeuin02.sceu.corp",11.5,0.01,92.09
"2014-02-01 03:30:00","lbpeuid01.sceu.corp",8.5,0.03,91.74
"2014-02-01 03:30:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 03:30:00","lbpeuin01.sceu.corp",9.5,0.01,91.99
"2014-02-01 03:30:00","lbpeuin02.sceu.corp",12,0.01,92.09
"2014-02-01 03:35:00","lbpeuid01.sceu.corp",8.5,0.02,91.74
"2014-02-01 03:35:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 03:35:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 03:35:00","lbpeuin02.sceu.corp",12.5,0.01,92.11
"2014-02-01 03:40:00","lbpeuid01.sceu.corp",8.5,0.02,91.74
"2014-02-01 03:40:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 03:40:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 03:40:00","lbpeuin02.sceu.corp",11.5,0.01,92.1
"2014-02-01 03:45:00","lbpeuid01.sceu.corp",8.5,0.03,91.74
"2014-02-01 03:45:00","lbpeuid02.sceu.corp",9,0,91.11
"2014-02-01 03:45:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 03:45:00","lbpeuin02.sceu.corp",12,0.01,92.1
"2014-02-01 03:50:00","lbpeuid01.sceu.corp",8.5,0.02,91.74
"2014-02-01 03:50:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 03:50:00","lbpeuin01.sceu.corp",10,0.01,92
"2014-02-01 03:50:00","lbpeuin02.sceu.corp",12,0.01,92.1
"2014-02-01 03:55:00","lbpeuid01.sceu.corp",8.5,0.03,91.74
"2014-02-01 03:55:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 03:55:00","lbpeuin01.sceu.corp",10,0.03,91.99
"2014-02-01 03:55:00","lbpeuin02.sceu.corp",11.5,0.01,92.09
"2014-02-01 04:00:00","lbpeuid01.sceu.corp",9,0.02,91.49
"2014-02-01 04:00:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 04:00:00","lbpeuin01.sceu.corp",10.5,0.01,91.99
"2014-02-01 04:00:00","lbpeuin02.sceu.corp",12,0.01,92.09
